Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,方便回報複製用,,,Google Translate Result (EN to zh-tw),簡易比對用語
bandwidth,頻寬,帶寬,未改,科技術語,bandwidth,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""頻寬"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,帶寬,待努力
bassoon,低音管/巴松管,大管,OK,音樂(樂器/術語),bassoon,狀態OK,,,巴鬆管,待努力
Beatles,披頭四樂隊,披頭士樂隊,未改,人名,Beatles,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""披頭四樂隊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,披頭士樂隊,待努力
Benz,賓士,奔馳,未改,品牌,Benz,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""賓士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,奔馳,待努力
Berlioz,白遼士,柏遼茲,未改,人名,Berlioz,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""白遼士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,柏遼茲,待努力
billiard,撞球,台球,未改,運動,billiard,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""撞球"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,台球,待努力
bit rate,位元速率,比特率,未改,科技術語,bit rate,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""位元速率"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,比特率,待努力
broccoli,花椰菜,西蘭花,未改,食品/動植物,broccoli,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""花椰菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,西蘭花,待努力
Brunei ,汶萊,文萊,未改,國名/地名,Brunei ,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""汶萊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,文萊,待努力
butter,奶油,牛油/黃油,未改,食品/動植物,butter,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奶油"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,牛油,待努力
by,透過,通過,未改,日常用語,by,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""透過"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,通過,待努力
cabbage,高麗菜,捲心菜,未改,食品/動植物,cabbage,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高麗菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,捲心菜,待努力
cauliflower,花椰菜/白花菜,菜花,未改,食品/動植物,cauliflower,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""花椰菜/白花菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,菜花,待努力
cd,光碟,光盤,未改,科技術語,cd,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""光碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,光盤,待努力
cd drive,光碟機,光盤驅動器,未改,科技術語,cd drive,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""光碟機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,光盤驅動器,待努力
chip,晶片,芯片,未改,科技術語,chip,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""晶片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,芯片,待努力
computer,電腦,計算機,OK,物品,computer,狀態OK,,,電腦,有成...?
condom,保險套,避孕套 / 安全套,未改,物品,condom,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""保險套"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,避孕套,待努力
contract,合約,合同,未改,日常用語,contract,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""合約"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,合同,待努力
crayfish,螯蝦,小龍蝦,未改,食品/動植物,crayfish,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""螯蝦"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,小龍蝦,待努力
da Vinci,達文西,達芬奇,未改,人名,da Vinci,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""達文西"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,達芬奇,待努力
day shift,日班,白班,未改,日常用語,day shift,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""日班"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,白班,待努力
daylily,金針花,黃花菜,未改,食品/動植物,daylily,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""金針花"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,黃花菜,待努力
default,預設,默認,未改,日常用語,default,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""預設"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,默認,待努力
demonstrate,示範,演示,未改,日常用語,demonstrate,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""示範"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,演示,待努力
department store,百貨公司,百貨商店,未改,日常用語,department store,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""百貨公司"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,百貨商店,待努力
diode,二極體,二極管,未改,科技術語,diode,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""二極體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,二極管,待努力
Donald Trump,唐納·川普,唐納德·特朗普,未改,人名,Donald Trump,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""唐納·川普"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,唐納德·特朗普,待努力
Dubai,杜拜,迪拜,未改,國名/地名,Dubai,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""杜拜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,迪拜,待努力
egg tart,蛋塔,蛋撻,未改,食品/動植物,egg tart,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""蛋塔"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,蛋撻,待努力
endoscope,內視鏡,內窺鏡,未改,醫療,endoscope,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""內視鏡"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,內窺鏡,待努力
face soap,洗面乳,洗面奶,未改,物品,face soap,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洗面乳"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,洗面奶,待努力
Fast and Furious,玩命關頭,速度與激情,未改,藝文(書籍/影視),Fast and Furious,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""玩命關頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,速度與激情,待努力
Festival de Cannes,坎城影展,戛納電影節,未改,藝文(書籍/影視),Festival de Cannes,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""坎城影展"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,戛納電影節,待努力
fever,發燒,發熱,未改,醫療,fever,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""發燒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,發熱,待努力
fireworks,煙火,煙花,未改,日常用語,fireworks,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""煙火"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,煙花,待努力
firmware,韌體,固件,未改,科技術語,firmware,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""韌體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,固件,待努力
floppy disk,磁碟片,軟盤,未改,科技術語,floppy disk,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""磁碟片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,軟盤,待努力
football,美式足球,足球,未改,運動,football,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""美式足球"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,足球,待努力
French Horn,法國號,圓號,未改,音樂(樂器/術語),French Horn,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""法國號"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,圓號,待努力
frozen dumplings,冷凍水餃,冷凍餃子,未改,食品/動植物,frozen dumplings,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""冷凍水餃"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,速凍水餃,待努力
Full HD,超高畫質,全高清,未改,科技術語,Full HD,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""超高畫質"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,全高清,待努力
gamepad,遊戲搖桿,遊戲手柄,未改,科技術語,gamepad,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""遊戲搖桿"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,遊戲手柄,待努力
Ghidorah,基多拉,吉多拉,未改,藝文(書籍/影視),Ghidorah,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""基多拉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,Ghidorah,待努力
Godzilla,哥吉拉,哥斯拉,未改,藝文(書籍/影視),Godzilla,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""哥吉拉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,哥斯拉,待努力
good afternoon,午安,下午好,未改,日常用語,good afternoon,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""午安"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,下午好,待努力
good morning,早安,早上好,未改,日常用語,good morning,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""早安"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,早上好,待努力
gynecology,婦產科,婦科,未改,醫療,gynecology,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""婦產科"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,婦科,待努力
hacker,駭客,黑客,未改,科技術語,hacker,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""駭客"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,黑客,待努力
hairdryer,吹風機,電吹風,未改,物品,hairdryer,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""吹風機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,電吹風,待努力
hard disk,硬碟,硬盤,未改,科技術語,hard disk,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,硬盤,待努力
hard drive,硬碟,硬盤,未改,科技術語,hard drive,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,硬盤,待努力
hardware,硬體,硬件,未改,科技術語,hardware,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,硬件,待努力
Hayden ,海頓,海登,未改,人名,Hayden ,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""海頓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,海登,待努力
High Definition (HD),高畫質,高清,OK,科技術語,High Definition (HD),狀態OK,,,高清晰度（HD）,待努力
high-end,高階,高端的,未改,日常用語,high-end,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高階"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,高端,待努力
homepage,首頁,主頁,未改,科技術語,homepage,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""首頁"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,主頁,待努力
information,資訊,信息,未改,日常用語,information,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""資訊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,信息,待努力
instant noodle,泡麵,方便麵,未改,食品/動植物,instant noodle,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""泡麵"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,方便麵,待努力
integrated,整合,集成,未改,科技術語,integrated,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""整合"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,集成,待努力
internet,網際網路,互聯網,未改,科技術語,internet,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""網際網路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,互聯網,待努力
kiwi,奇異果,獼猴桃,未改,食品/動植物,kiwi,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奇異果"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,獼猴桃,待努力
LAND ROVER,荒原路華,路虎,未改,品牌,LAND ROVER,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""荒原路華"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,LAND ROVER,待努力
Lao,寮國,老撾,未改,國名/地名,Lao,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寮國"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,老撾,待努力
laptop,筆記型電腦,筆記本電腦,未改,科技術語,laptop,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""筆記型電腦"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,筆記本電腦,待努力
laser,鐳射,激光,未改,科技術語,laser,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鐳射"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,激光,待努力
level,水準,水平,未改,日常用語,level,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""水準"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,水平,待努力
Linkin Park,聯合公園,林肯公園,未改,人名,Linkin Park,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""聯合公園"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,林肯公園,待努力
low-end,低階,低端的,未改,日常用語,low-end,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""低階"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,低端,待努力
memory card,記憶卡,存儲卡,未改,科技術語,memory card,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""記憶卡"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,存儲卡,待努力
menu,選單,菜單,未改,科技術語,menu,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""選單"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,菜單,待努力
message,訊息,信息,未改,日常用語,message,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""訊息"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,信息,待努力
Michael Jackson,麥克傑克森,邁克爾杰克遜,未改,人名,Michael Jackson,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""麥克傑克森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,邁克爾杰克遜,待努力
Monet ,莫內,莫奈,未改,人名,Monet ,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""莫內"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,莫奈,待努力
Mothra,摩斯拉,莫斯拉,未改,藝文(書籍/影視),Mothra,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""摩斯拉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,摩斯拉,有成...?
motor,馬達,發動機,未改,物品,motor,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""馬達"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,發動機,待努力
New Zealand,紐西蘭,新西蘭,未改,國名/地名,New Zealand,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""紐西蘭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,新西蘭,待努力
Nigeria,奈及利亞,尼日利亞,未改,國名/地名,Nigeria,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奈及利亞"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,尼日利亞,待努力
night snack,宵夜,夜宵,未改,日常用語,night snack,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""宵夜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,夜排檔,待努力
Nixie tube,輝光管,數碼管,未改,科技術語,Nixie tube,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""輝光管"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,數碼管,待努力
optimize,最佳化,優化,未改,日常用語,optimize,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""最佳化"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,優化,待努力
Picasso,畢卡索,畢加索,未改,人名,Picasso,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""畢卡索"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,畢加索,待努力
pineapple,鳳梨,菠蘿,未改,食品/動植物,pineapple,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""鳳梨"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,菠蘿,待努力
plastic bag,塑膠袋,塑料袋,未改,物品,plastic bag,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""塑膠袋"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,塑料袋,待努力
plastic bottle,寶特瓶,塑料瓶,未改,物品,plastic bottle,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寶特瓶"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,塑料瓶,待努力
plug adapter,轉接頭,適配器,未改,科技術語,plug adapter,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""轉接頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,插頭適配器,待努力
potato,馬鈴薯,土豆,未改,食品/動植物,potato,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""馬鈴薯"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,土豆,待努力
potato chips,洋芋片,土豆片 / 薯片,未改,食品/動植物,potato chips,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洋芋片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,土豆片,待努力
power bank,行動電源,移動電源,未改,物品,power bank,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行動電源"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,移動電源,待努力
President Tsai Ing-Wen,總統蔡英文,蔡英文,未改,人名,President Tsai Ing-Wen,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""總統蔡英文"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,主席蔡英文,待努力
print,列印,打印,未改,科技術語,print,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""列印"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,打印,待努力
printer,印表機,打印機,未改,科技術語,printer,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""印表機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,打印機,待努力
program,程式,程序,未改,科技術語,program,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""程式"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,程序,待努力
Putin,普丁,普京,未改,人名,Putin,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""普丁"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,普京,待努力
quality,品質,質量,未改,日常用語,quality,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""品質"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,質量,待努力
RAM,記憶體,內存,未改,科技術語,RAM,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""記憶體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,內存,待努力
rap,饒舌樂,說唱,未改,音樂(樂器/術語),rap,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""饒舌樂"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,敲擊,待努力
rapper,饒舌歌手,說唱歌手,未改,音樂(樂器/術語),rapper,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""饒舌歌手"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,說唱歌手,待努力
resolution,解析度,分辨率,OK,科技術語,resolution,狀態OK,,,解析度,有成...?
Rodan,拉頓,羅丹,未改,藝文(書籍/影視),Rodan,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""拉頓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,羅丹,待努力
roller coaster,雲霄飛車,過山車,未改,物品,roller coaster,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雲霄飛車"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,過山車,待努力
rubik's cube,魔術方塊,魔方,未改,物品,rubik's cube,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""魔術方塊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).",,,魔方,待努力
