"【提出修改建議 template】 This translation is culturally inappropriate. The correct Traditional Chinese translation should be _____. I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese).  ",,,,,,,↙↓超連結及提出建議欄均已格式化，不須手動填入，可直接選取上方列然後點兩下右下角藍點來自動填入或是複製→選擇性貼上→僅貼上公式
Eng/外文,台灣用語,中國用語/其他,google翻譯狀態,類型,google 超連結,Google Translate Result (EN to zh-tw),方便回報複製用
Bali,峇里島,里島,未改,國名/地名,Bali,巴厘島,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""峇里島"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
ball pen,原子筆,原珠筆,未改,物品,ball pen,圓珠筆,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""原子筆"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Band aid,ok繃,創可貼,未改,日常用語,Band aid,創可貼,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""ok繃"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
bandwidth,頻寬,帶寬,未改,科技術語,bandwidth,帶寬,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""頻寬"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
bassoon,低音管/巴松管,大管,OK,音樂(樂器/術語),bassoon,巴鬆管,狀態OK
Beatles,披頭四樂隊,披頭士樂隊,未改,人名,Beatles,披頭士樂隊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""披頭四樂隊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Benz,賓士,奔馳,未改,品牌,Benz,奔馳,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""賓士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Berlioz,白遼士,柏遼茲,未改,人名,Berlioz,柏遼茲,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""白遼士"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
billiard,撞球,台球,未改,運動,billiard,台球,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""撞球"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
bit rate,位元速率,比特率,未改,科技術語,bit rate,比特率,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""位元速率"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Blood donation,捐血,獻血,未改,醫療,Blood donation,獻血,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""捐血"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
broccoli,花椰菜,西蘭花,未改,食品/動植物,broccoli,西蘭花,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""花椰菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Brunei ,汶萊,文萊,未改,國名/地名,Brunei ,文萊,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""汶萊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
butter,奶油,牛油/黃油,未改,食品/動植物,butter,牛油,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""奶油"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
by,透過,通過,未改,日常用語,by,通過,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""透過"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cabbage,高麗菜,捲心菜,未改,食品/動植物,cabbage,捲心菜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高麗菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cassette,卡帶,暗盒,未改,科技術語,cassette,暗盒,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""卡帶"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cauliflower,花椰菜/白花菜,菜花,未改,食品/動植物,cauliflower,菜花,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""花椰菜/白花菜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cd,光碟,光盤,未改,科技術語,cd,光盤,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""光碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cd drive,光碟機,光盤驅動器,未改,科技術語,cd drive,光盤驅動器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""光碟機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
channel,管道,渠道,未改,日常用語,channel,渠道,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""管道"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
chip,晶片,芯片,未改,科技術語,chip,芯片,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""晶片"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cloud drive,雲端硬碟,雲盤,未改,科技術語,cloud drive,雲驅動器,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""雲端硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
coding,寫程式,編碼,未改,科技術語,coding,編碼,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""寫程式"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Color TV,彩色電視,彩電,OK,科技術語,Color TV,彩色電視,狀態OK
column,行,列,未改,日常用語,column,柱,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""行"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
components,零件,組件,未改,日常用語,components,組件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""零件"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
computer,電腦,計算機,OK,物品,computer,電腦,狀態OK
computer mouse,電腦滑鼠,鼠標,未改,科技術語,computer mouse,電腦鼠標,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電腦滑鼠"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
condom,保險套,避孕套 / 安全套,未改,物品,condom,避孕套,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""保險套"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
contrabassoon,倍低音管,低音大管,未改,音樂(樂器/術語),contrabassoon,低音管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""倍低音管"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
contract,合約,合同,未改,日常用語,contract,合同,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""合約"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
convenience store,便利商店/超商,便利店,未改,日常用語,convenience store,便利店,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""便利商店/超商"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cookie,餅乾,曲奇餅,未改,食品/動植物,cookie,曲奇餅,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""餅乾"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Could you call a taxi for us?,你能幫我們叫計程車嗎,你能幫我們打車嗎？,未改,日常用語,Could you call a taxi for us?,你可以叫出租車給我們？,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""你能幫我們叫計程車嗎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
COVID-19,中國武漢肺炎,新冠肺炎,未改,醫療,COVID-19,新冠肺炎,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""中國武漢肺炎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
crayfish,螯蝦,小龍蝦,未改,食品/動植物,crayfish,小龍蝦,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""螯蝦"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
create a password,建立一個密碼,創建一個密碼,未改,科技術語,create a password,創建一個密碼,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""建立一個密碼"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
create an account,建立一個帳戶,創建一個帳戶,未改,科技術語,create an account,創建一個帳戶,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""建立一個帳戶"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
cursor,游標,光標,未改,科技術語,cursor,光標,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""游標"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
da Vinci,達文西,達芬奇,未改,人名,da Vinci,達芬奇,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""達文西"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
data,資料,數據,未改,科技術語,data,數據,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""資料"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
data bus,匯流排,數據總線,未改,科技術語,data bus,數據總線,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""匯流排"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
database,資料庫,數據庫,未改,科技術語,database,數據庫,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""資料庫"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
day shift,日班,白班,未改,日常用語,day shift,白班,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""日班"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
daylily,金針花,黃花菜,未改,食品/動植物,daylily,黃花菜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""金針花"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
default,預設,默認,未改,日常用語,default,默認,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""預設"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
demonstrate,示範,演示,未改,日常用語,demonstrate,演示,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""示範"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
department store,百貨公司,百貨商店,未改,日常用語,department store,百貨商店,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""百貨公司"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
desktop computer,桌上型電腦,台式電腦,未改,科技術語,desktop computer,台式電腦,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""桌上型電腦"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
digital,數位,數字,未改,科技術語,digital,數字,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""數位"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Digitization,數位化,數字化,未改,科技術語,Digitization,數字化,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""數位化"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
dink,頂客,丁客,未改,科技術語,dink,丁克,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""頂客"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
diode,二極體,二極管,未改,科技術語,diode,二極管,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""二極體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Donald Trump,唐納·川普,唐納德·特朗普,未改,人名,Donald Trump,唐納德·特朗普,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""唐納·川普"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
draft beer,生啤酒,扎啤,未改,食品/動植物,draft beer,扎啤酒,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""生啤酒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Dubai,杜拜,迪拜,未改,國名/地名,Dubai,迪拜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""杜拜"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Dwayne Johnson,巨石強森,德韋恩·約翰遜,未改,人名,Dwayne Johnson,德韋恩·約翰遜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巨石強森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Dwayne The Rock Johnson,巨石強森,德韋恩岩石約翰遜,未改,人名,Dwayne The Rock Johnson,德韋恩岩石約翰遜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""巨石強森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
egg tart,蛋塔,蛋撻,未改,食品/動植物,egg tart,蛋撻,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""蛋塔"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
electric shaver,電動刮鬍刀,電動剃鬚刀,未改,物品,electric shaver,電動剃須刀,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""電動刮鬍刀"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
endoscope,內視鏡,內窺鏡,未改,醫療,endoscope,內窺鏡,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""內視鏡"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
engine,引擎,發動機,未改,科技術語,engine,發動機,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""引擎"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
euphonium,上低音號,中音號,OK,音樂(樂器/術語),euphonium,次中音號,狀態OK
face soap,洗面乳,洗面奶,未改,物品,face soap,洗面奶,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""洗面乳"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Fast and Furious,玩命關頭,速度與激情,未改,藝文(書籍/影視),Fast and Furious,速度與激情,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""玩命關頭"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Festival de Cannes,坎城影展,戛納電影節,未改,藝文(書籍/影視),Festival de Cannes,戛納電影節,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""坎城影展"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
fever,發燒,發熱,未改,醫療,fever,發熱,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""發燒"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
fireworks,煙火,煙花,未改,日常用語,fireworks,煙花,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""煙火"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
firmware,韌體,固件,未改,科技術語,firmware,固件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""韌體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
floppy disk,軟碟,軟盤,未改,科技術語,floppy disk,軟盤,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""軟碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
football,美式足球,足球,未改,運動,football,足球,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""美式足球"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
French Horn,法國號,圓號,未改,音樂(樂器/術語),French Horn,圓號,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""法國號"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
frozen dumplings,冷凍水餃,冷凍餃子,未改,食品/動植物,frozen dumplings,速凍水餃,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""冷凍水餃"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Full HD,超高畫質,全高清,未改,科技術語,Full HD,全高清,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""超高畫質"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
gamepad,遊戲搖桿,遊戲手柄,未改,科技術語,gamepad,遊戲手柄,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""遊戲搖桿"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Ghidorah,基多拉,吉多拉,未改,藝文(書籍/影視),Ghidorah,Ghidorah,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""基多拉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Godzilla,哥吉拉,哥斯拉,未改,藝文(書籍/影視),Godzilla,哥斯拉,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""哥吉拉"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
good afternoon,午安,下午好,未改,日常用語,good afternoon,下午好,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""午安"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
good morning,早安,早上好,未改,日常用語,good morning,早上好,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""早安"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
gynecology,婦產科,婦科,未改,醫療,gynecology,婦科,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""婦產科"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hacker,駭客,黑客,未改,科技術語,hacker,黑客,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""駭客"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hairdryer,吹風機,電吹風,未改,物品,hairdryer,電吹風,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""吹風機"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hand warmer,暖暖包,暖手寶,未改,日常用語,hand warmer,暖手寶,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""暖暖包"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hard disk,硬碟,硬盤,未改,科技術語,hard disk,硬盤,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hard drive,硬碟,硬盤,未改,科技術語,hard drive,硬盤,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬碟"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
hardware,硬體,硬件,未改,科技術語,hardware,硬件,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""硬體"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Hayden ,海頓,海登,未改,人名,Hayden ,海登,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""海頓"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
High Definition (HD),高畫質,高清,OK,科技術語,High Definition (HD),高清晰度（HD）,狀態OK
high resolution,高解析度,高分辨率,未改,科技術語,high resolution,高分辨率,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高解析度"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
high-end,高階,高端的,未改,日常用語,high-end,高端,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""高階"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Hindemith,亨德密特,欣德米特,未改,人名,Hindemith,欣德米特,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""亨德密特"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
homepage,首頁,主頁,未改,科技術語,homepage,主頁,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""首頁"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
information,資訊,信息,未改,日常用語,information,信息,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""資訊"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
instant noodle,泡麵,方便麵,未改,食品/動植物,instant noodle,方便麵,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""泡麵"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
integrated,整合,集成,未改,科技術語,integrated,集成,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""整合"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Integrated circuit,積體電路,集成電路,未改,科技術語,Integrated circuit,集成電路,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""積體電路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Intellectual Property Rights,智慧財產權,知識產權,未改,日常用語,Intellectual Property Rights,知識產權,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""智慧財產權"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
intensive care unit,加護病房,重症監護病房,未改,醫療,intensive care unit,重症監護室,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""加護病房"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
interface,介面,接口,未改,科技術語,interface,接口,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""介面"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
internet,網際網路,互聯網,未改,科技術語,internet,互聯網,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""網際網路"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Jason Statham,傑森史塔森,傑森斯坦森,未改,人名,Jason Statham,傑森斯坦森,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""傑森史塔森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
Johnson,強森,約翰遜,未改,人名,Johnson,約翰遜,"This translation is culturally inappropriate. The correct Traditional Chinese translation should be ""強森"". I selected Traditional Chinese, which should translate into phrases used in Taiwan, but it gave me phrases used in China (Simplified Chinese)."
